drug,disease,target,association_score,max_phase,action_type,priority_score,boxed_warning,contraindications,serious_ae_reports,disease_trial_count,disease_max_trial_phase,disease_trial_has_results,pubmed_result_count,disease_burden_estimate,storage_requires_cold_chain,patent_status,eml_listed,resistance_notes,manufacturing_notes
IZOKIBEP,Mycetoma,IL17A,0.012196135204595159,3.0,INHIBITOR,45.5,,,,0,0,False,0,,,,,,
VUNAKIZUMAB,Mycetoma,IL17A,0.012196135204595159,3.0,INHIBITOR,45.5,,,,0,0,False,0,,,,,,
RUPLIZUMAB,Chikungunya,CD40LG,0.0022174791281082107,3.0,INHIBITOR,45.1,,,,0,0,False,0,,,,,,
DAPIROLIZUMAB PEGOL,Chikungunya,CD40LG,0.0022174791281082107,3.0,INHIBITOR,45.1,,,,0,0,False,0,,,,,,
DAZODALIBEP,Chikungunya,CD40LG,0.0022174791281082107,3.0,ANTAGONIST,45.1,,,,0,0,False,0,,,,,,
SENICAPOC,Yaws,CA4,0.002771848910135263,3.0,BLOCKER,45.1,,,1,0,0,False,0,"33891.0 (2016, Number of cases of yaws reported)",,,,,
PD-0166285 HYDROCHLORIDE,Scabies,FLG,0.6790696224956302,1.0,INHIBITOR,42.2,,,,0,0,False,0,,,,,,
RG-1530,Scabies,FLG,0.6790696224956302,1.0,INHIBITOR,42.2,,,,0,0,False,0,,,,,,
CTS-1027,Lymphatic filariasis,MMP8,0.09239496367117545,2.0,INHIBITOR,33.7,,,1,0,0,False,0,,,,,,
REBIMASTAT,Lymphatic filariasis,MMP8,0.09239496367117545,2.0,INHIBITOR,33.7,,,1,0,0,False,0,,,,,,
FRESOLIMUMAB,Chagas disease,TGFB1,0.0885058615966489,2.0,INHIBITOR,33.5,,,4,0,0,False,0,,,,,,
METELIMUMAB,Chagas disease,TGFB1,0.0885058615966489,2.0,INHIBITOR,33.5,,,,0,0,False,0,,,,,,
LY-2382770,Chagas disease,TGFB1,0.0885058615966489,2.0,INHIBITOR,33.5,,,,0,0,False,0,,,,,,
ANRUKINZUMAB,Schistosomiasis,IL13,0.08447659459582649,2.0,INHIBITOR,33.4,,,,0,0,False,0,,,,,,
QAX-576,Schistosomiasis,IL13,0.08447659459582649,2.0,INHIBITOR,33.4,,,,0,0,False,0,,,,,,
ROMILKIMAB,Schistosomiasis,IL13,0.08447659459582649,2.0,INHIBITOR,33.4,,,,0,0,False,0,,,,,,
ASK-8007,Schistosomiasis,SPP1,0.08063594673507235,2.0,INHIBITOR,33.2,,,,0,0,False,0,,,,,,
ETOKIMAB,Schistosomiasis,IL33,0.07989071064000698,2.0,BINDING AGENT,33.2,,,,0,0,False,0,,,,,,
TORUDOKIMAB,Schistosomiasis,IL33,0.07989071064000698,2.0,INHIBITOR,33.2,,,,0,0,False,0,,,,,,
SU-014813,Schistosomiasis,KIT,0.07816100621227716,2.0,INHIBITOR,33.1,,,,0,0,False,0,,,,,,
TELATINIB,Schistosomiasis,KIT,0.07816100621227716,2.0,INHIBITOR,33.1,,,2,0,0,False,0,,,,,,
ENMD-2076,Schistosomiasis,KIT,0.07816100621227716,2.0,INHIBITOR,33.1,,,,0,0,False,0,,,,,,
FORETINIB,Schistosomiasis,KIT,0.07816100621227716,2.0,INHIBITOR,33.1,,,3,0,0,False,0,,,,,,
TANDUTINIB,Schistosomiasis,KIT,0.07816100621227716,2.0,INHIBITOR,33.1,,,2,0,0,False,0,,,,,,
AMUVATINIB,Schistosomiasis,KIT,0.07816100621227716,2.0,INHIBITOR,33.1,,,,0,0,False,0,,,,,,
XL-820,Schistosomiasis,KIT,0.07816100621227716,2.0,INHIBITOR,33.1,,,,0,0,False,0,,,,,,
XL-999,Schistosomiasis,KIT,0.07816100621227716,2.0,INHIBITOR,33.1,,,,0,0,False,0,,,,,,
INDIBULIN,Chagas disease,TUBA1B,0.07520950042833682,2.0,INHIBITOR,33.0,,,,0,0,False,0,,,,,,
DAVUNETIDE,Chagas disease,TUBA1B,0.07520950042833682,2.0,STABILISER,33.0,,,,0,0,False,0,,,,,,
CROLIBULIN,Chagas disease,TUBA1B,0.07520950042833682,2.0,INHIBITOR,33.0,,,,0,0,False,0,,,,,,
LEXIBULIN,Chagas disease,TUBA1B,0.07520950042833682,2.0,INHIBITOR,33.0,,,,0,0,False,0,,,,,,
FOSBRETABULIN DISODIUM,Chagas disease,TUBA1B,0.07520950042833682,2.0,INHIBITOR,33.0,,,,0,0,False,0,,,,,,
FOSBRETABULIN TROMETHAMINE,Chagas disease,TUBA1B,0.07520950042833682,2.0,DISRUPTING AGENT,33.0,,,8,0,0,False,0,,,,,,
SAGOPILONE,Chagas disease,TUBA1B,0.07520950042833682,2.0,STABILISER,33.0,,,,0,0,False,0,,,,,,
VERUBULIN,Chagas disease,TUBA1B,0.07520950042833682,2.0,DISRUPTING AGENT,33.0,,,,0,0,False,0,,,,,,
ELPETRIGINE,Taeniasis,CACNA1A,0.06177174665759764,2.0,BLOCKER,32.5,,,,0,0,False,0,,,,,,
NNC0114-0006,Echinococcosis,IL21,0.06024151631360641,2.0,BINDING AGENT,32.4,,,,0,0,False,0,,,,,,
ERLIZUMAB,Lymphatic filariasis,ITGB2,0.059666731351050856,2.0,NEGATIVE MODULATOR,32.4,,,,0,0,False,0,,,,,,
MLNM-2201,Lymphatic filariasis,ITGB2,0.059666731351050856,2.0,INHIBITOR,32.4,,,,0,0,False,0,,,,,,
ERLIZUMAB,Dracunculiasis,ITGB2,0.058246657717410354,2.0,NEGATIVE MODULATOR,32.3,,,,0,0,False,0,,,,,,
MLNM-2201,Dracunculiasis,ITGB2,0.058246657717410354,2.0,INHIBITOR,32.3,,,,0,0,False,0,,,,,,
ABX-IL8,Trachoma,CXCL8,0.04984975208843854,2.0,INHIBITOR,32.0,,,,0,0,False,0,"2.0 (2025, Number of people operated for trachomatous trichiasis)",,,,,
ADAKITUG,Trachoma,CXCL8,0.04984975208843854,2.0,INHIBITOR,32.0,,,,0,0,False,0,"2.0 (2025, Number of people operated for trachomatous trichiasis)",,,,,
TALIZUMAB,Echinococcosis,IGHE,0.03145834562895533,2.0,INHIBITOR,31.3,,,,0,0,False,0,,,,,,
AL-901,Echinococcosis,IGHE,0.03145834562895533,2.0,INHIBITOR,31.3,,,,0,0,False,0,,,,,,
QUILIZUMAB,Echinococcosis,IGHE,0.03145834562895533,2.0,INHIBITOR,31.3,,,,0,0,False,0,,,,,,
NIVOCASAN,Buruli ulcer,IL1B,0.027153853212251004,2.0,INHIBITOR,31.1,,,,0,0,False,0,"No data (2022, Number of new reported cases of Buruli ulcer)",,,,,
BELNACASAN,Buruli ulcer,IL1B,0.027153853212251004,2.0,INHIBITOR,31.1,,,,0,0,False,0,"No data (2022, Number of new reported cases of Buruli ulcer)",,,,,
TALIZUMAB,Onchocerciasis,IGHE,0.027329496559965798,2.0,INHIBITOR,31.1,,,,0,0,False,0,"Elimination verified (2024, Estimated number of individuals in the country requiring preventive chemotherapy for onchocerciasis)",,,,,
AL-901,Onchocerciasis,IGHE,0.027329496559965798,2.0,INHIBITOR,31.1,,,,0,0,False,0,"Elimination verified (2024, Estimated number of individuals in the country requiring preventive chemotherapy for onchocerciasis)",,,,,
QUILIZUMAB,Onchocerciasis,IGHE,0.027329496559965798,2.0,INHIBITOR,31.1,,,,0,0,False,0,"Elimination verified (2024, Estimated number of individuals in the country requiring preventive chemotherapy for onchocerciasis)",,,,,
SCH-708980,Onchocerciasis,IL10,0.02060835666605075,2.0,INHIBITOR,30.8,,,,0,0,False,0,"Elimination verified (2024, Estimated number of individuals in the country requiring preventive chemotherapy for onchocerciasis)",,,,,
AFASEVIKUMAB,Mycetoma,IL17A,0.012196135204595159,2.0,INHIBITOR,30.5,,,,0,0,False,0,,,,,,
PERAKIZUMAB,Mycetoma,IL17A,0.012196135204595159,2.0,INHIBITOR,30.5,,,,0,0,False,0,,,,,,
CJM-112,Mycetoma,IL17A,0.012196135204595159,2.0,BINDING AGENT,30.5,,,,0,0,False,0,,,,,,
REMTOLUMAB,Mycetoma,IL17A,0.012196135204595159,2.0,INHIBITOR,30.5,,,2,0,0,False,0,,,,,,
TIBULIZUMAB,Mycetoma,IL17A,0.012196135204595159,2.0,INHIBITOR,30.5,,,,0,0,False,0,,,,,,
SCH-708980,Mycetoma,IL10,0.011456975495225757,2.0,INHIBITOR,30.5,,,,0,0,False,0,,,,,,
NIVOCASAN,Mycetoma,IL1B,0.01022504264627675,2.0,INHIBITOR,30.4,,,,0,0,False,0,,,,,,
BELNACASAN,Mycetoma,IL1B,0.01022504264627675,2.0,INHIBITOR,30.4,,,,0,0,False,0,,,,,,
TORALIZUMAB,Chikungunya,CD40LG,0.0022174791281082107,2.0,INHIBITOR,30.1,,,,0,0,False,0,,,,,,
RAVAGALIMAB,Chikungunya,CD40LG,0.0022174791281082107,2.0,ANTAGONIST,30.1,,,,0,0,False,0,,,,,,
TEGOPRUBART,Chikungunya,CD40LG,0.0022174791281082107,2.0,INHIBITOR,30.1,,,4,0,0,False,0,,,,,,
CNTO-5825,Schistosomiasis,IL13,0.08447659459582649,1.0,INHIBITOR,18.4,,,,0,0,False,0,,,,,,
OSI-930,Schistosomiasis,KIT,0.07816100621227716,1.0,INHIBITOR,18.1,,,1,0,0,False,0,,,,,,
RG-7841,Chagas disease,TUBA1B,0.07520950042833682,1.0,INHIBITOR,18.0,,,,0,0,False,0,,,,,,
MLN-01,Lymphatic filariasis,ITGB2,0.059666731351050856,1.0,INHIBITOR,17.4,,,,0,0,False,0,,,,,,
MLN-01,Dracunculiasis,ITGB2,0.058246657717410354,1.0,INHIBITOR,17.3,,,,0,0,False,0,,,,,,
MEDI-4212,Echinococcosis,IGHE,0.03145834562895533,1.0,INHIBITOR,16.3,,,,0,0,False,0,,,,,,
MEDI-4212,Onchocerciasis,IGHE,0.027329496559965798,1.0,INHIBITOR,16.1,,,,0,0,False,0,"Elimination verified (2024, Estimated number of individuals in the country requiring preventive chemotherapy for onchocerciasis)",,,,,
