drug,disease,target,association_score,max_phase,action_type,priority_score,boxed_warning,contraindications,serious_ae_reports,disease_trial_count,disease_max_trial_phase,disease_trial_has_results,pubmed_result_count,disease_burden_estimate,storage_requires_cold_chain,patent_status,eml_listed,resistance_notes,manufacturing_notes
FLUOROMETHOLONE,Taeniasis,NR3C1,0.25962984791600296,4.0,AGONIST,70.4,False,"CONTRAINDICATIONS Contraindicated in acute superficial herpes simplex keratitis, vaccinia, varicella, and most other viral diseases of cornea and conjunctiva; mycobacterial infection of the eye; fungal diseases; acute purulent untreated infections, which like other diseases caused by microorganisms, may be masked or enhanced by the presence of the steroid; and in those persons who have known hyper",1529,0,0,False,0,,True,,,,
HYDROCORTAMATE HYDROCHLORIDE,Taeniasis,NR3C1,0.25962984791600296,4.0,AGONIST,70.4,,,,0,0,False,0,,,,,,
BETAMETHASONE SODIUM PHOSPHATE,Taeniasis,NR3C1,0.25962984791600296,4.0,AGONIST,70.4,False,CONTRAINDICATIONS Betamethasone Sodium Phosphate and Betamethasone Acetate Injectable Suspension is contraindicated in patients who are hypersensitive to any components of this product. Intramuscular corticosteroid preparations are contraindicated for idiopathic thrombocytopenic purpura.,1648,0,0,False,0,,False,,,,
LOTEPREDNOL ETABONATE,Taeniasis,NR3C1,0.25962984791600296,4.0,AGONIST,70.4,False,"CONTRAINDICATIONS Loteprednol etabonate, as with other ophthalmic corticosteroids, is contraindicated in most viral diseases of the cornea and conjunctiva including epithelial herpes simplex keratitis (dendritic keratitis), vaccinia, and varicella, and also in mycobacterial infection of the eye and fungal diseases of ocular structures. Loteprednol etabonate is also contraindicated in individuals w",333,0,0,False,0,,False,,,,
PREDNISOLONE TEBUTATE,Taeniasis,NR3C1,0.25962984791600296,4.0,AGONIST,70.4,,,1,0,0,False,0,,,,,,
PREDNISOLONE,Taeniasis,NR3C1,0.25962984791600296,4.0,AGONIST,70.4,False,"CONTRAINDICATIONS PRED FORTE ® suspension is contraindicated in acute untreated purulent ocular infections, in most viral diseases of the cornea and conjunctiva including epithelial herpes simplex keratitis (dendritic keratitis), vaccinia, and varicella, and also in mycobacterial infection of the eye and fungal diseases of ocular structures. PRED FORTE ® suspension is also contraindicated in indiv",184040,0,0,False,6,,False,,,,
FLUNISOLIDE,Taeniasis,NR3C1,0.25962984791600296,4.0,AGONIST,70.4,False,CONTRAINDICATIONS Hypersensitivity to any of the ingredients.,1263,0,0,False,0,,False,,,,
PARAMETHASONE ACETATE,Taeniasis,NR3C1,0.25962984791600296,4.0,AGONIST,70.4,,,4,0,0,False,0,,,,,,
BETAMETHASONE DIPROPIONATE,Taeniasis,NR3C1,0.25962984791600296,4.0,AGONIST,70.4,False,"4 CONTRAINDICATIONS Betamethasone dipropionate cream (augmented), is contraindicated in patients who are hypersensitive to betamethasone dipropionate, to other corticosteroids, or to any ingredient in this preparation. Hypersensitivity to any component of this medicine. ( 4 )",6814,0,0,False,0,,True,,,,
BETAMETHASONE ACETATE,Taeniasis,NR3C1,0.25962984791600296,4.0,AGONIST,70.4,False,CONTRAINDICATIONS Betamethasone Sodium Phosphate and Betamethasone Acetate Injectable Suspension is contraindicated in patients who are hypersensitive to any components of this product. Intramuscular corticosteroid preparations are contraindicated for idiopathic thrombocytopenic purpura.,190,0,0,False,0,,False,,,,
